"doc_image","media_file","rid","docpr_name","docpr_descr","brand_candidate_text","suggested_name"
"doc_image_002.jpeg","image1.jpeg","rId8","Picture 2","","KH_CENSUS_2025SKU Brand BookKH_CENSUS_2025SKU Brand Book","kh_census_2025sku_brand_bookkh_census_2025sku_brand_book_001.jpeg"
"doc_image_003.jpeg","image2.jpeg","rId9","Picture 6","","MEVIUS_ម៉ៃសេវែន / មេវៀស | MEVIUS ORIGINAL","mevius_original_001.jpeg"
"doc_image_004.jpeg","image3.jpeg","rId10","Picture 7","","MEVIUS_ម៉ៃសេវែន / មេវៀស | MEVIUS ORIGINAL","mevius_original_002.jpeg"
"doc_image_005.jpeg","image4.jpeg","rId11","Picture 4","","MEVIUS_ម៉ៃសេវែន / មេវៀស | MEVIUS ORIGINAL","mevius_original_003.jpeg"
"doc_image_006.jpeg","image5.jpeg","rId12","Picture 1","","ម៉ៃសេវែន / មេវៀស ចុច/ទំពាំងបាយជូរ | MEVIUS FREEZY DEW","mevius_freezy_dew_001.jpeg"
"doc_image_007.jpeg","image6.jpeg","rId13","Picture 5","","ម៉ៃសេវែន / មេវៀស ចុច/ទំពាំងបាយជូរ | MEVIUS FREEZY DEW","mevius_freezy_dew_002.jpeg"
"doc_image_008.jpeg","image7.jpeg","rId14","Picture 2","","ម៉ៃសេវែន / មេវៀស ចុច/ទំពាំងបាយជូរ | MEVIUS FREEZY DEW","mevius_freezy_dew_003.jpeg"
"doc_image_009.png","image8.png","rId15","Picture 1","","ម៉ៃសេវែន / មេវៀស ខ្មៅ | MEVIUS E_SERIES BLUE","mevius_e_series_blue_001.png"
"doc_image_010.jpeg","image9.jpeg","rId16","Picture 6","","ម៉ៃសេវែន / មេវៀស ខ្មៅ | MEVIUS E_SERIES BLUE","mevius_e_series_blue_002.jpeg"
"doc_image_011.jpeg","image10.jpeg","rId17","Picture 1","","WINSTON_វីនស្តុន | WINSTON NIGHT BLUE","winston_night_blue_001.jpeg"
"doc_image_012.jpeg","image11.jpeg","rId18","Picture 2","","WINSTON_វីនស្តុន | WINSTON NIGHT BLUE","winston_night_blue_002.jpeg"
"doc_image_013.jpeg","image12.jpeg","rId19","Picture 3","","WINSTON_វីនស្តុន | WINSTON NIGHT BLUE","winston_night_blue_003.jpeg"
"doc_image_014.jpeg","image13.jpeg","rId20","Picture 6","","ESSE_អេសសេ | ESSE CHANGE","esse_change_001.jpeg"
"doc_image_015.png","image14.png","rId21","Picture 6","","ESSE_អេសសេ | ESSE CHANGE","esse_change_002.png"
"doc_image_016.jpeg","image15.jpeg","rId22","Picture 6","","ESSE_អេសសេ | ESSE CHANGE","esse_change_003.jpeg"
"doc_image_017.jpeg","image16.jpeg","rId23","Picture 6","","ESSE_អេសសេ | ESSE CHANGE","esse_change_004.jpeg"
"doc_image_018.jpeg","image17.jpeg","rId24","Picture 1","","អេសសេ ឆេង/ចុចគូទ | ESSE LIGHTS","esse_lights_001.jpeg"
"doc_image_019.jpeg","image18.jpeg","rId25","Picture 1","","អេសសេ ឆេង/ចុចគូទ | ESSE LIGHTS","esse_lights_002.jpeg"
"doc_image_020.png","image19.png","rId26","Picture 1","","អេសសេ ឆេង/ចុចគូទ | ESSE LIGHTS","esse_lights_003.png"
"doc_image_021.jpeg","image20.jpeg","rId27","Picture 1","","អេសសេ ហិរ | ESSE GOLD","esse_gold_001.jpeg"
"doc_image_022.png","image21.png","rId28","Picture 16","","ESSE OTHER_ អេសសេ ផ្សេងៗ | ESSE CHANGE CAFÉ","esse_change_caf_001.png"
"doc_image_023.png","image22.png","rId29","Picture 52","A black package with white text AI-generated content may be incorrect.","អេសសេ កាហ្វេ | ESSE BLACK","esse_black_001.png"
"doc_image_024.jpeg","image23.jpeg","rId30","Picture 1","","អេសសេ ប្លែក | ESS E RED","ess_e_red_001.jpeg"
"doc_image_025.jpeg","image24.jpeg","rId31","Picture 8","","អេសសេ ក្រហម | ESSE CHANGE CAFE","esse_change_cafe_001.jpeg"
"doc_image_026.png","image25.png","rId32","Picture 9","A box of candy on a table AI-generated content may be incorrect.","អេសសេ កាហ្វេ | ESSE CHANGE COOLIPS SWEET APPLE","esse_change_coolips_sweet_apple_001.png"
